ID,User,Email,Role,Activated,PurchasingLevel
1,admin,admin@datameer.com,0,TRUE,GOLD
2,Ajay,Ajay@datameer.com,2,TRUE,SILVER
3,analyst,analyst@datameer.com,1,TRUE,GOLD
4,Bob,Bob@datameer.com,2,FALSE,BRONZE
5,Alice,Alice@datameer.com,2,FALSE,GOLD
6,John,John@datameer.com,2,FALSE,BRONZE
7,Andreas,Andreas@datameer.com,2,TRUE,SILVER
8,Arthur,Arthur@datameer.com,2,TRUE,SILVER
9,Dagmar,Dagmar@datameer.com,2,FALSE,BRONZE
10,Frank,Frank@datameer.com,2,TRUE,GOLD
11,Johannes,Johannes@datameer.com,2,TRUE,GOLD
12,Marko,Marko@datameer.com,2,TRUE,BRONZE
13,Marlon,Marlon@datameer.com,2,TRUE,SILVER
14,Mike,Mike@datameer.com,2,TRUE,BRONZE
15,Orlando,Orlando@datameer.com,2,TRUE,BRONZE
16,Peter,Peter@datameer.com,2,TRUE,GOLD
17,Ralf,Ralf@datameer.com,2,FALSE,GOLD
18,Shirish,Shirish@datameer.com,2,TRUE,SILVER
19,Stefan,Stefan@datameer.com,2,TRUE,GOLD
20,Teresa,Teresa@datameer.com,2,TRUE,BRONZE
